symbol,action_type,ex_date,ratio,premium,price_multiplier
ABB,DEMERGER,20-Dec-2019,1:1,,1.0
ADANIENT,RIGHTS,17-Nov-2025,3:25,1799.0,0.969485
ADANIPOWER,SPLIT,22-Sep-2025,1:5,,0.2
APOLLOHOSP,SPLIT,02-Sep-2010,1:2,,0.5
AUBANK,BONUS,09-Jun-2022,1:1,,0.5
AXISBANK,SPLIT,28-Jul-2014,1:5,,0.2
BAJAJ-AUTO,BONUS,08-Sep-2010,1:1,,0.5
BAJAJFINSV,SPLIT,13-Sep-2022,1:5,,0.2
BAJAJFINSV,BONUS,13-Sep-2022,1:1,,0.5
BAJFINANCE,BONUS,08-Sep-2016,1:1,,0.5
BAJFINANCE,BONUS,16-Jun-2025,4:1,,0.2
BAJFINANCE,SPLIT,16-Jun-2025,1:2,,0.5
BANKBARODA,SPLIT,22-Jan-2015,1:5,,0.2
BEL,BONUS,15-Sep-2022,2:1,,0.333333
BERGEPAINT,SPLIT,08-Jan-2015,1:2,,0.5
BERGEPAINT,BONUS,15-Jul-2016,2:5,,0.714286
BERGEPAINT,BONUS,22-Sep-2023,1:5,,0.833333
BHARTIARTL,RIGHTS,27-Sep-2021,1:14,530.0,0.981571
BHEL,BONUS,28-Sep-2017,1:2,,0.666667
BPCL,BONUS,13-Jul-2017,1:2,,0.666667
BPCL,BONUS,21-Jun-2024,1:1,,0.5
BRITANNIA,SPLIT,29-Nov-2018,1:2,,0.5
CANBK,SPLIT,15-May-2024,1:5,,0.2
CHOLAFIN,SPLIT,14-Jun-2019,1:5,,0.2
DIVISLAB,BONUS,23-Sep-2015,1:1,,0.5
DRREDDY,SPLIT,28-Oct-2024,1:5,,0.2
EICHERMOT,SPLIT,24-Aug-2020,1:10,,0.1
GAIL,BONUS,06-Sep-2022,1:2,,0.666667
GAIL,BONUS,09-Jul-2019,1:1,,0.5
GAIL,BONUS,27-Mar-2018,1:3,,0.75
GODREJCP,BONUS,12-Sep-2018,1:2,,0.666667
GRASIM,SPLIT,06-Oct-2016,1:5,,0.2
GRASIM,RIGHTS,10-Jan-2024,6:179,1810.0,0.99604
HAL,SPLIT,28-Sep-2023,1:2,,0.5
HAVELLS,SPLIT,26-Aug-2014,1:5,,0.2
HDFCBANK,SPLIT,14-Jul-2011,1:5,,0.2
HDFCBANK,SPLIT,19-Sep-2019,1:2,,0.5
HDFCBANK,BONUS,26-Aug-2025,1:1,,0.5
HINDUNILVR,DEMERGER,05-Dec-2025,1:1,,1.0
ICICIBANK,SPLIT,04-Dec-2014,1:5,,0.2
ICICIBANK,BONUS,20-Jun-2017,1:10,,0.909091
INDHOTEL,RIGHTS,11-Nov-2021,1:9,149.0,0.96967
INFY,BONUS,04-Sep-2018,1:1,,0.5
IOC,BONUS,15-Mar-2018,1:1,,0.5
IOC,BONUS,30-Jun-2022,1:2,,0.666667
IRCTC,SPLIT,28-Oct-2021,1:5,,0.2
ITC,BONUS,01-Jul-2016,1:2,,0.666667
ITC,DEMERGER,06-Jan-2025,1:1,,1.0
KOTAKBANK,SPLIT,13-Sep-2010,1:2,,0.5
KOTAKBANK,SPLIT,14-Jan-2026,1:5,,0.2
LODHA,BONUS,31-May-2023,1:1,,0.5
LT,BONUS,11-Jul-2013,1:2,,0.666667
LT,BONUS,13-Jul-2017,1:2,,0.666667
MOTHERSON,BONUS,03-Oct-2022,1:2,,0.666667
MOTHERSON,BONUS,05-Jul-2017,1:2,,0.666667
MOTHERSON,DEMERGER,14-Jan-2022,1:1,,1.0
MOTHERSON,BONUS,18-Jul-2025,1:2,,0.666667
MOTHERSON,BONUS,30-Oct-2018,1:2,,0.666667
NAUKRI,SPLIT,07-May-2025,1:5,,0.2
NESTLEIND,SPLIT,05-Jan-2024,1:10,,0.1
NESTLEIND,BONUS,08-Aug-2025,1:1,,0.5
NTPC,BONUS,19-Mar-2019,1:5,,0.833333
PFC,BONUS,21-Sep-2023,1:4,,0.8
PIDILITIND,BONUS,23-Sep-2025,1:1,,0.5
PNB,SPLIT,18-Dec-2014,1:5,,0.2
POWERGRID,BONUS,12-Sep-2023,1:3,,0.75
POWERGRID,BONUS,29-Jul-2021,1:3,,0.75
RECLTD,BONUS,17-Aug-2022,1:3,,0.75
RELIANCE,BONUS,07-Sep-2017,1:1,,0.5
RELIANCE,RIGHTS,13-May-2020,1:15,1247.0,0.99061
RELIANCE,DEMERGER,20-Jul-2023,1:1,,1.0
RELIANCE,BONUS,28-Oct-2024,1:1,,0.5
SIEMENS,DEMERGER,07-Apr-2025,1:1,,1.0
SIEMENS,BONUS,29-Feb-2008,1:1,,0.5
SRF,BONUS,13-Oct-2021,4:1,,0.2
TATACONSUM,RIGHTS,26-Jul-2024,1:26,817.0,0.987723
TATACONSUM,SPLIT,30-Jun-2010,1:10,,0.1
TATAELXSI,BONUS,18-Sep-2017,1:1,,0.5
TATASTEEL,SPLIT,28-Jul-2022,1:10,,0.1
TECHM,BONUS,19-Mar-2015,1:1,,0.5
TITAN,BONUS,23-Jun-2011,1:1,,0.5
TORNTPHARM,BONUS,08-Jul-2022,1:1,,0.5
TRENT,SPLIT,12-Sep-2016,1:10,,0.1
UPL,BONUS,02-Jul-2019,1:2,,0.666667
UPL,RIGHTS,26-Nov-2024,1:8,358.0,0.959243
VBL,BONUS,06-Jun-2022,1:2,,0.666667
VBL,BONUS,10-Jun-2021,1:2,,0.666667
VBL,SPLIT,12-Sep-2024,1:2.5,,0.4
VBL,SPLIT,15-Jun-2023,1:2,,0.5
WIPRO,BONUS,03-Dec-2024,1:1,,0.5
WIPRO,BONUS,06-Mar-2019,1:3,,0.75
