symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
JINDALSTEL,EQ,-,1,Dividend - Rs 2 Per Share,22-Aug-2025,22-Aug-2025,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Dividend - Rs 2 Per Share,22-Aug-2024,22-Aug-2024,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Dividend - Rs 2 Per Sh,18-Aug-2023,18-Aug-2023,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Dividend - Rs 2 Per Share,20-Sep-2022,21-Sep-2022,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Interim Dividend - Re 1 Per Share,16-Mar-2022,19-Mar-2022,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,23-Sep-2021,-,25-Sep-2021,30-Sep-2021,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,23-Sep-2020,-,25-Sep-2020,30-Sep-2020,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,19-Sep-2019,-,23-Sep-2019,27-Sep-2019,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,19-Sep-2018,-,24-Sep-2018,28-Sep-2018,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,11-Sep-2017,-,13-Sep-2017,15-Sep-2017,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,15-Jul-2016,-,19-Jul-2016,25-Jul-2016,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1, Annual General Meeting,07-Sep-2015,-,09-Sep-2015,11-Sep-2015,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Annual General Meeting/Dividend Rs 1.50/- Per Share,11-Jul-2014,-,15-Jul-2014,18-Jul-2014,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Annual General Meeting And Dividend Rs.1.60 Per Share,13-Sep-2013,-,17-Sep-2013,20-Sep-2013,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Annual General Meeting And Dividend Rs.1.60 Per Share,10-Sep-2012,-,12-Sep-2012,14-Sep-2012,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Dividend-Rs.1.50 Per Share,12-Sep-2011,-,14-Sep-2011,16-Sep-2011,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Dividend-Rs.1.25 Per Share,13-Sep-2010,-,15-Sep-2010,17-Sep-2010,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Div-Rs.5.50 Pr Sh/Bon 5:1purpose Revised,14-Sep-2009,-,16-Sep-2009,17-Sep-2009,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Agm/Dividend - 250%,12-Sep-2008,-,16-Sep-2008,19-Sep-2008,-,JINDAL STEEL LIMITED,INE749A01030,-,
JINDALSTEL,EQ,-,1,Int Div -Rs.1.50/- Per Sh,27-Feb-2008,28-Feb-2008,-,-,-,JINDAL STEEL LIMITED,INE749A01030,-,
