Buy Date,Symbol,Strategy,Status,Stage,Entry_Price,Initial_Quantity,Current_Quantity,Investment_Amount,Current_LTP,Sell Date,SL_Price,Exit_Price,Exit_Reason,Realized_PnL,Unrealized_PnL,Total_PnL,PnL_Percentage
12/26/2025,ADANIENT,Value Buy,OPEN,0,2229.9,4,4,8919.6,2229.9,,2118.41,0,,0,0,0,0
12/26/2025,AXISBANK,GFS,OPEN,0,1228.2,8,8,9825.6,1228.2,,1166.79,0,,0,0,0,0
12/26/2025,BRITANNIA,AGFS,OPEN,0,6032.5,1,1,6032.5,6032.5,,5730.88,0,,0,0,0,0
12/26/2025,HCLTECH,AGFS,OPEN,0,1660.9,6,6,9965.4,1660.9,,1577.86,0,,0,0,0,0
12/26/2025,HEROMOTOCO,GFS,OPEN,0,5637,1,1,5637,5637,,5355.15,0,,0,0,0,0
12/26/2025,HINDUNILVR,Value Buy,OPEN,0,2285.4,4,4,9141.6,2285.4,,2171.13,0,,0,0,0,0
12/26/2025,IOC,GFS,OPEN,0,160.3,62,62,9938.6,160.3,,152.28,0,,0,0,0,0
12/26/2025,KOTAKBANK,AGFS,OPEN,0,2164.2,4,4,8656.8,2164.2,,2055.99,0,,0,0,0,0
12/26/2025,MARICO,AGFS,OPEN,0,743.3,13,13,9662.9,743.3,,706.13,0,,0,0,0,0
12/26/2025,NESTLEIND,AGFS,OPEN,0,1272.6,7,7,8908.2,1272.6,,1208.97,0,,0,0,0,0
12/26/2025,RELIANCE,AGFS,OPEN,0,1559.2,6,6,9355.2,1559.2,,1481.24,0,,0,0,0,0
12/26/2025,SIEMENS,Value Buy,OPEN,0,3100.9,3,3,9302.7,3100.9,,2945.86,0,,0,0,0,0
12/26/2025,TECHM,AGFS,OPEN,0,1612.3,6,6,9673.8,1612.3,,1531.68,0,,0,0,0,0
12/26/2025,LTIM,GFS,OPEN,0,6035.5,1,1,6035.5,6035.5,,5733.72,0,,0,0,0,0
12/26/2025,ADANIENSOL,AGFS,OPEN,0,1015.3,9,9,9137.7,1015.3,,964.53,0,,0,0,0,0
